,player_name,season,url
56,Elton Brand,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1882.png
57,Corey Brewer,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201147.png
58,Ronnie Brewer,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200758.png
59,Aaron Brooks,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201166.png
60,MarShon Brooks,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202705.png
61,Kwame Brown,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2198.png
62,Shannon Brown,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200769.png
63,Kobe Bryant,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/977.png
64,Chase Budinger,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201978.png
65,Alec Burks,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
66,Caron Butler,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2406.png
67,Jimmy Butler,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
68,Andrew Bynum,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101115.png
69,Will Bynum,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101198.png
70,Jose Calderon,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101181.png
71,Marcus Camby,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/948.png
72,DeMarre Carroll,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201960.png
73,Vince Carter,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1713.png
74,Omri Casspi,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201956.png
75,Mario Chalmers,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201596.png
76,Tyson Chandler,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2199.png
77,Wilson Chandler,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201163.png
78,Earl Clark,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201947.png
